id,title,author,year,plot,image_path,publisher,pages,isbn,stock,category,price
6,"Lo Hobbit","J.R.R. Tolkien",1937,"Bilbo Baggins, un hobbit tranquillo, viene trascinato in una straordinaria avventura per riconquistare il tesoro custodito dal drago Smaug. Un classico dell’epica fantasy moderna.",the_hobbit.jpg,HarperCollins,310,978-0261102217,22,Fantasy,11.90
7,1984,"George Orwell",1949,"In un mondo dominato dal Grande Fratello, Winston Smith cerca di ribellarsi al controllo assoluto del Partito e di riconquistare la libertà del pensiero.",1984.jpg,"Secker & Warburg",328,978-0451524935,0,Mistero,9.90
8,"The Catcher in the Rye","J.D. Salinger",1951,"Holden Caulfield racconta in prima persona le sue giornate di smarrimento e ribellione nell’America degli anni ’50, in uno dei romanzi più iconici del Novecento.",the_catcher.jpg,"Little, Brown and Company",277,978-0316769488,6,Narrativa,11.50
9,"Il Nome della Rosa","Umberto Eco",1980,"Nel 1327, in un’abbazia benedettina, il monaco Guglielmo da Baskerville indaga su una serie di misteriosi delitti. Un intreccio di filosofia, teologia e mistero.",nome_rosa.jpg,Bompiani,503,978-8845246363,61,Giallo,9.50
10,"The Great Gatsby","F. Scott Fitzgerald",1925,"Jay Gatsby, ricco e misterioso, organizza sfarzose feste nella speranza di riconquistare l’amore perduto di Daisy Buchanan. Un ritratto struggente del sogno americano.",great_gatsby.jpg,"Charles Scribner's Sons",180,978-0743273565,37,Classico,8.50
19,"Il signore degli anelli","J.R.R. Tolkien",1954,"L’epica avventura di Frodo e della Compagnia dell’Anello per distruggere l’Unico Anello e sconfiggere Sauron.",il_signore_degli_anelli.jpg,HarperCollins,1200,9788845292615,29,Fantasy,7.90
20,"Orgoglio e pregiudizio","Jane Austen",1813,"Una storia d’amore e critica sociale nell’Inghilterra del XIX secolo, tra la vivace Elizabeth Bennet e l’orgoglioso Mr. Darcy.",orgoglio_pregiudizio.jpg,Einaudi,416,9788806220669,11,Classico,9.90
21,"Harry Potter e la pietra filosofale","J.K. Rowling",1997,"Il primo capitolo della saga di Harry Potter, il giovane mago che scopre il suo destino a Hogwarts.",harry_potter1.jpg,Salani,296,9788884510119,11,Fantasy,9.90
22,"Il codice da Vinci","Dan Brown",2003,"Un thriller ricco di misteri, simboli e segreti nascosti nel cuore del mondo dell’arte e della religione.",codice_vinci.jpg,Mondadori,512,9788804524806,22,Thriller,8.90
23,"Io, robot","Isaac Asimov",1950,"Una raccolta di racconti che esplora le leggi della robotica e il rapporto tra umani e macchine.",io_robot.jpg,Mondadori,288,9788804727894,2,Fantascienza,7.90
24,"La coscienza di Zeno","Italo Svevo",1923,"Un romanzo introspettivo che esplora la psicologia e le nevrosi dell’uomo moderno.",zeno.jpg,"Newton Compton",384,9788854189390,9,Classico,7.90
25,"Il piccolo principe","Antoine de Saint-Exupéry",1943,"Una fiaba filosofica che parla di amore, amicizia e dell’essenziale invisibile agli occhi.",piccolo_principe.jpg,Bompiani,128,9788845292615,15,Narrativa,8.90
26,Shining,"Stephen King",1977,"Un romanzo horror ambientato in un hotel isolato dove un uomo perde lentamente la ragione.",shining.jpg,"Sperling & Kupfer",512,9788820063523,0,Horror,8.90
